uuid,vin,make,model,mileage,year,price,zipCode,createdAt,updatedAt
e2145dc9-5a8a-4146-9a7b-11739f345352,19UUA56632A678795,Volvo,850,87852,1993,$90898.45,,12/12/2019,3/29/2019
e06b66e8-ffc0-4a8b-b203-7577b15904d8,WBA3B9C52FJ182707,Chevrolet,2500,64739,1998,$16856.53,,9/30/2019,1/10/2020
abd468c4-bd62-4310-a23f-b761ab1f41fb,3N1CE2CP1EL026123,Subaru,Outback,35255,2011,$74278.49,,2/26/2019,9/21/2019
96c2ded5-8813-42e9-b07c-d147d1da0d93,KL4CJBSB8EB302999,Ford,ZX2,357,2001,$23358.29,,12/30/2019,2/15/2019
6b4310c3-d563-4959-b579-85275f9e53ca,WAUHMAFC1EN383386,Saab,900,20998,1997,$69759.15,671 76,9/17/2019,8/4/2019
2912c2f5-b837-4481-9c34-4d28fc6bdb96,WAULT68E05A186063,Pontiac,Safari,97027,1986,$24184.59,39510-000,10/9/2019,1/7/2020
50390d43-7bdf-41ce-8120-87d4530d236e,WBAGL634X3D056027,Mitsubishi,Diamante,77212,2004,$94154.62,263 01,2/28/2019,8/16/2019
51b5653f-eb1f-4b12-904e-f9c67350e1f2,WBAEA53579C262307,Hyundai,Elantra,35736,2000,$38828.92,303720,6/9/2019,12/11/2019
c1baaf02-6e2b-4465-bb99-7e3b251c6028,WA1VMBFE1DD731067,Chevrolet,Traverse,15936,2011,$5024.68,452857,6/18/2019,1/8/2020
0ed14198-8e23-4e22-b96e-cfc083f62fe4,2D4RN3DG0BR305589,Mazda,MPV,7976,1989,$64559.51,,3/28/2019,10/19/2019
5206296a-3eb0-4e81-8f80-b2761d4aeade,SCBLE37G95C392746,Mazda,626,94001,1998,$46119.73,51016,11/14/2019,8/18/2019
58d4a402-afe0-4fe6-a3de-d1ddc3a0cb96,3N1CN7AP8FL099166,Pontiac,Tempest,64785,1967,$39987.95,,6/24/2019,9/3/2019
4eeb38ec-25be-4a4e-9cb2-ed46d7bf259a,2C3CCAFJ1DH609632,Chevrolet,3500,85268,1993,$54448.44,65800-000,5/24/2019,12/16/2019
0b5a3da0-defa-46c4-983d-1ef9816979cc,YV1982BW1A1707305,Volkswagen,Golf,36236,1988,$97302.47,,8/7/2019,5/31/2019
efd51e2c-ab8a-4a4d-ac68-4960abb04336,3C4PDDBG0DT172574,Cadillac,STS,43405,2009,$65750.89,,9/11/2019,8/3/2019
6e11b311-ac7e-44e6-8bf5-83bfd5402c68,JN1AY1AP7DM063855,Mercury,Sable,82531,1993,$3475.51,1489,3/8/2019,5/11/2019
3699dd16-ce40-430f-aea1-4376f95963d1,WAUML64B54N869576,Jaguar,XK,65753,2007,$73391.84,,7/12/2019,10/28/2019
397c8610-c58b-452e-80e3-3b59dc65ab5c,WAUBNAFBXAN443282,Buick,Coachbuilder,77355,1994,$75694.93,47747,11/17/2019,8/9/2019
40372036-678c-423c-a927-c0dc5f3332a3,SALGR2VF0FA167547,BMW,7 Series,62422,2004,$71904.51,L-8396,9/5/2019,11/30/2019
b664623a-9a65-4a18-83c5-07043796c161,4T1BF1FK6CU401065,Dodge,Ram Wagon B150,21332,1992,$56288.55,64300-000,10/22/2019,11/18/2019
b78d9965-ea9f-4506-9a21-8924e041a019,5UXFB33533L184770,Mitsubishi,Pajero,62007,1992,$13085.83,,7/18/2019,3/15/2019
80ac65ca-4137-4b36-8cb6-c9fab5f5d135,WBAVC53517A572861,Dodge,Dakota Club,27191,2001,$44498.84,94009 CEDEX,6/6/2019,7/14/2019
ad81c4e2-0a2b-4097-9316-7895d15a5e9a,1N6AD0CU1CC730300,Chevrolet,Express 3500,1267,1998,$38645.50,,6/14/2019,12/29/2019
1efd712d-3ef3-43b3-8337-872ff7aa01df,2C3CCABG5DH647097,Chevrolet,Silverado 2500,52690,2012,$41037.61,,10/19/2019,1/14/2020
7018c427-d948-40fd-bc56-2685b4bec1d4,5UMBT93568L737012,Hyundai,Tiburon,20854,2006,$7667.96,42-660,7/15/2019,5/9/2019
13076597-b6e4-410c-b194-7114ecf91d20,3GYFNAE33FS933892,BMW,X6 M,82321,2010,$21303.63,,12/25/2019,8/3/2019
3f54a4f5-7031-4929-ab04-6e04bce923b7,3GYFNAEY1AS586471,Ford,Contour,49574,1996,$55964.35,576 24,6/29/2019,9/5/2019
82c9455c-7eef-40f4-b59c-a551bde3bf0a,WBANV93558C177783,Audi,R8,76535,2009,$61603.22,7029,4/5/2019,4/19/2019
80b4a2e7-ced2-4e6e-9663-fa19b6e73fd2,1FAHP3FN0AW409607,Ford,Five Hundred,31333,2005,$55897.63,,2/22/2019,2/22/2019
59d02dbd-76c1-4ca0-9625-b06b1bfdbbbd,1FTEX1CM3BF130857,Maserati,Spyder,75116,2005,$89903.31,,10/25/2019,8/22/2019
8ee85ea7-6de7-428d-967e-5cf9a74d682b,WBSBL93426P431936,Mazda,Mazda5,49932,2006,$77740.55,4216,4/24/2019,3/26/2019
d2725a69-5aff-4d0c-80c5-68b7ab3a18d5,WBAYA8C55FG121044,Mitsubishi,Eclipse,52940,1997,$17795.34,95190-000,9/5/2019,5/1/2019
2a61dd01-4d74-47bd-acb4-7822f353c2d4,1G6AB5R3XD0794863,Jaguar,XK Series,76945,1999,$49625.14,,12/25/2019,12/23/2019
555d5146-d9b7-48cf-b855-b2c5596b21e0,5N1BA0NE9FN106173,Mercedes-Benz,C-Class,73020,2011,$60024.27,,6/3/2019,12/11/2019
afa40cb1-901c-4750-bb7c-36bfef361ea2,1FAHP2DW3CG080775,Saab,9-5,77264,2004,$27842.07,,7/6/2019,1/8/2020
fb0fe369-e371-45e6-8a05-074e6f834daa,TRUDD38J391723441,Cadillac,CTS-V,58435,2006,$34262.31,24421,2/10/2020,10/20/2019
b0fe08cd-8240-441d-83a6-076777980d98,WBAVD53517A402464,Chrysler,300M,79483,2001,$43369.14,12940-000,1/29/2020,7/18/2019
89abcd75-b8a4-4bac-b0be-ecb8b4018b00,WAUFFAFC5EN906507,Lexus,ES,68633,2002,$44080.24,,4/14/2019,12/17/2019
79304f84-e9e9-4bca-8980-a0cb2b7d28e7,3D4PH6FV8AT563298,GMC,Envoy XL,23097,2002,$59071.52,,3/6/2019,4/15/2019
7235fb7c-a1f0-4990-9ec9-2b96f1284fd0,19UUA65634A959716,Volvo,S60,25027,2011,$29462.18,,9/16/2019,12/28/2019
48ce56a9-7f81-4a64-b312-936019db7b82,2B3CJ7DJXBH666966,Isuzu,Amigo,92379,1998,$55154.60,,10/9/2019,5/6/2019
6b08f004-38c4-4845-851f-6f448c76ae19,2G61T5S34F9805730,Toyota,Avalon,67900,2007,$37763.07,77228,7/28/2019,10/18/2019
37e83e94-7ff2-4bd6-9c6c-6d281b30eee6,WAULK78K29A838752,Chevrolet,Camaro,46186,2011,$4632.87,454092,11/30/2019,8/6/2019
90998cdf-0908-41b6-9b80-d3f07675998d,JN1CV6EL6EM870438,Ford,Escape,67628,2009,$55121.72,,7/27/2019,5/26/2019
a0e00aee-46fb-46ac-bfe5-880e65b5c06e,1N6AF0LY6FN084953,Pontiac,Firebird,14527,1984,$40053.51,357637,7/26/2019,6/16/2019
6b1bb4d1-2b43-4dc5-84dc-9f628f0bab6f,2HKRM3H3XDH178745,Buick,Electra,72189,1990,$61861.15,,9/1/2019,1/21/2020
49233c9c-d66f-4cd8-ad0e-05c55eb0954e,2G4GR5GX1F9198649,GMC,Sierra 1500,63110,2005,$42175.70,,1/7/2020,1/9/2020
1c6dc0e6-2004-48c2-b105-c85f296d1530,JH4DC548X5S329319,Plymouth,Voyager,65935,1996,$80332.91,,6/18/2019,8/18/2019
e6de302d-1d6f-48e1-91b3-99cdce5683a5,1FTEW1CM7EF725069,Dodge,Viper RT/10,42770,1994,$79745.29,,12/11/2019,8/25/2019
8583a738-749a-4ed0-ac92-77101960b5f8,5UXZV4C56BL665105,Subaru,XT,70645,1986,$67010.27,,7/19/2019,7/9/2019
b9956644-f7e6-4e73-8683-00c470f33f2a,WBA3B5C54FF234415,Subaru,Legacy,5416,1996,$16325.33,,11/3/2019,7/30/2019
c3c5c62d-ad97-430e-858c-bdc861527df3,19UUA8F73CA367427,Nissan,Pathfinder,2268,2011,$4513.79,,6/28/2019,3/4/2019
e4ba736c-247a-4b07-a756-390840bb0bcc,WAUJGBFC8DN309413,Lexus,RX Hybrid,6947,2006,$68970.20,,7/11/2019,10/10/2019
3ab59aa2-8ea0-48f0-843d-542807c9712a,JM1CR2W35A0423173,Ferrari,F430,73479,2008,$80986.39,,8/16/2019,2/19/2019
6861e228-a184-4d08-8879-1cda1be11be8,JM1GJ1T67E1925006,GMC,Jimmy,90495,1995,$86192.51,,6/24/2019,3/14/2019
b49b607f-6079-410f-a8aa-da996516438e,JTDKN3DP0E3089755,BMW,3 Series,8106,2011,$16249.81,,9/1/2019,11/24/2019
4b1cc3c5-6bc1-4674-88da-cfcea7870c5d,JM3ER2W30A0779983,Buick,Skylark,80330,1998,$61052.06,,7/3/2019,10/19/2019
b1a82092-a87e-42f4-af2c-dcdc8bd323af,1G6DG5EY2B0033533,Isuzu,Trooper,65744,2000,$12766.40,,7/20/2019,10/15/2019
6544eee5-10b1-4f0d-883b-1fd50cdc37df,WBAUP7C58BV349245,Audi,TT,24115,2001,$43701.17,,8/29/2019,10/25/2019
2b32a072-8971-48fd-8f3d-9581f236f9b8,SAJWA4EC1BM693224,Acura,NSX,30528,1994,$91733.46,,9/23/2019,2/20/2019
f824fc67-2356-4124-810b-8e672c41d1b0,WAUDH98E16A104298,Dodge,Caravan,1194,1985,$55166.67,,6/7/2019,3/4/2019
03c89b3d-b614-4740-a699-f717a3534966,WAUSF78E67A229946,Acura,ZDX,16963,2011,$62453.89,,10/6/2019,12/5/2019
293a0681-3597-4830-bb6e-06e84a128696,KNDMG4C76E6598662,Mercedes-Benz,C-Class,83236,2006,$41047.13,,2/15/2019,5/21/2019
796df1f1-8f68-44ed-b344-9a902c30f30b,WA1DGBFE5DD946440,BMW,760,83603,2003,$40267.83,,11/1/2019,11/14/2019
b2342035-eb8b-4de0-bf02-0a9e7f7ed4db,JN1CV6EK0FM385267,GMC,Yukon XL 2500,36990,2010,$39800.64,,3/14/2019,10/28/2019
aaf860d6-816e-425d-996f-fac34ef05213,4T1BD1EB4DU548980,Bugatti,Veyron,36723,2009,$16930.27,88545-000,9/1/2019,6/9/2019
d4ff90c3-229b-445d-a555-eb4b03a8ff5f,YV1960BW6A1693119,Infiniti,QX,52590,2008,$24681.28,,7/9/2019,8/2/2019
7e49458f-5e23-48ab-82ef-c27370007813,WA1LFBFP1CA593078,Land Rover,Discovery,25679,2011,$34926.78,84135,6/10/2019,1/22/2020
e7085fff-d8d1-4c92-b83e-fdbecbc7f05e,1FTWW3B58AE630076,Jaguar,X-Type,15773,2002,$85276.84,,6/29/2019,4/27/2019
1fc947fa-c581-4fd2-8e12-8b8417514335,2B3CA2CV1AH478522,Porsche,911,90138,1987,$36018.85,,7/8/2019,2/3/2020
266e28f8-47be-44b6-996f-e30dc744201c,3D4PH7FG0BT120555,Saab,9-4X,90578,2011,$47341.59,,12/23/2019,5/8/2019
c30467a9-ebe5-4f19-a7ab-2f1ee7693f28,KNDMG4C73B6136054,Mercedes-Benz,SL-Class,98128,1999,$42188.36,6719,11/19/2019,4/3/2019
8650b7c3-289d-4afa-9a92-6c2db25dbe65,WAU3VAFR3BA279870,Suzuki,Vitara,61004,1999,$50041.39,,1/28/2020,5/27/2019
a160b7d1-e474-4ff7-9f88-913c5f57ba94,WBAEW53402P273513,Nissan,Maxima,15033,2011,$5430.03,929-0203,7/26/2019,6/12/2019
35b90bdf-fbc2-4a51-842d-234fefa75640,JTEBU5JR3F5399436,Mitsubishi,Chariot,92712,1995,$26267.17,,6/6/2019,7/26/2019
78f0d504-da17-4156-952b-afd3886cf474,1GYS3CEF1ER621789,Ford,Five Hundred,28288,2007,$41537.53,1693,7/3/2019,11/30/2019
a4bf1d94-36fc-45a1-9052-d96b4a451af9,5N1AA0NC1CN445922,Ford,Ranger,37127,1999,$96882.85,250027,11/14/2019,8/30/2019
8a756918-fff9-4ae1-bf92-a0a68c73e76d,1GYFC66868R691554,Suzuki,Sidekick,70733,1997,$30229.60,,7/3/2019,2/22/2019
d34aafa2-138f-46c4-9d44-c5deca4dcc7f,1C3CDFCB7ED981563,Lotus,Exige,21255,2005,$84270.64,,7/15/2019,7/31/2019
4f249e23-e9a2-4d4b-bc48-504c3e40c51f,WP0CA2A87FK886454,Chevrolet,Classic,48101,2005,$61078.13,,7/22/2019,11/17/2019
ebd51a89-9409-43b3-964c-f55a2469a25d,SCFFBCBD5BG596739,Toyota,4Runner,86095,1994,$3642.83,,12/5/2019,1/16/2020
cec015d4-4f8f-498a-a318-adfce1b0814c,5N1AA0NC9DN576484,Mitsubishi,3000GT,22521,1995,$68063.09,,12/9/2019,6/22/2019
9d36cb71-e1dd-4a1e-aa8f-8f4295735862,WAUJT68EX4A039111,Volkswagen,Golf,98532,1983,$62493.55,,6/13/2019,3/21/2019
6db20ff4-61a5-492f-9c73-8ca5c8204dc6,1G6KE54Y62U427091,Volkswagen,rio,13814,2002,$77679.09,998-0031,7/24/2019,10/13/2019
5edf90c3-d034-41c6-8774-bce9e7774d4b,YV1902AHXC1048458,Oldsmobile,Silhouette,97697,2002,$35745.13,939-2747,1/25/2020,2/13/2019
a5e4a081-2079-4e81-a581-637c5b554c04,WAUCKAFRXAA567389,Mazda,CX-9,22241,2008,$96760.99,21-146,9/4/2019,4/7/2019
c062a9ab-c4b6-42a3-9955-5bd079c360d6,WBABD33484P087976,Pontiac,Fiero,50511,1988,$30658.12,5002,1/16/2020,5/26/2019
cc8d13a2-ffbf-419c-9c22-e6f66e43e755,WA1C8AFP3DA964246,Toyota,MR2,14439,1995,$17171.80,,12/30/2019,3/8/2019
53667763-7652-44eb-9a3a-66bb9dd4c2a0,WAUVC68E72A568675,Chevrolet,Express 2500,76897,2009,$35601.14,083010,2/22/2019,7/29/2019
eec6de9f-33b5-464a-bd10-da724b6fa868,2T1BU4EE6CC567381,Saturn,VUE,62622,2009,$97881.92,,11/23/2019,7/22/2019
28b3702f-39b5-43da-917e-55b71b40e9d2,1C3CDZAB4EN135387,Acura,TL,90633,2007,$52422.37,,12/29/2019,2/10/2020
88725110-4ad2-4c4d-8765-b8e511ee3875,WAUAF78E17A746860,Chevrolet,Tahoe,96577,2002,$85645.61,5615,8/9/2019,2/20/2019
ae61aa5b-574e-43b5-868d-9c5d6b6526ad,WA1LMAFE9CD898907,Chevrolet,Express 2500,63653,2012,$41452.22,,5/9/2019,12/5/2019
856030fe-f183-4e1a-86d2-620381d1b8a9,WAULT58E03A342495,Acura,MDX,81289,2008,$17202.07,31551,7/17/2019,8/23/2019
4f600cf2-9c33-4762-b3eb-c95ff365c6e4,WAUHGAFC0DN769349,Dodge,Ram 2500,40137,1998,$14263.22,,4/13/2019,9/28/2019
1a40835d-ff42-4077-93e2-fb2f7fcbe279,5J6TF3H51FL875909,Mazda,Miata MX-5,21093,2006,$20955.25,8160,8/27/2019,12/6/2019
1d26c911-27d8-42b7-8a38-33cf42720d18,1N6BF0KL7FN880119,Subaru,Legacy,66430,2011,$19752.41,,1/5/2020,2/23/2019
4bc42e3a-fe3a-4d2a-8761-761e609ee0c9,WBAHN03558D197583,Mercedes-Benz,M-Class,62795,2003,$65690.50,,8/5/2019,3/28/2019
d126642e-894e-4e0f-bb89-fab03ee6824a,WBADX7C55DE878767,Buick,Century,98881,2001,$53858.95,,12/16/2019,5/17/2019
40c9fee0-26f7-436d-a6db-d00006417d52,4T3BA3BB3EU403673,Ford,E150,35950,2006,$72225.31,62320-000,8/11/2019,1/25/2020
145b6eb4-fe15-4fbb-a463-e106f78976f6,1G6YX36D885374688,Nissan,Versa,67307,2011,$37609.57,,2/7/2020,1/3/2020
7852df5b-08c5-4072-994f-0057de876dae,WVWAN7AN4DE763334,GMC,Yukon XL 1500,28134,2004,$48453.14,95-081,9/13/2019,11/5/2019
42f4e9d3-ac6b-494f-ac19-31ac79154769,JTDZN3EU8E3573725,Volkswagen,Jetta,58086,2005,$84117.38,152295,4/9/2019,5/30/2019
b549ef6d-28ea-4ae6-a26a-3e2e2d73fae3,JM1NC2EF5A0864467,Citroën,SM,5984,1972,$20272.06,A41,6/19/2019,9/10/2019
dc39ba98-cfdc-4ff9-a1bf-48d1ffaba389,WAUDT48H26K983039,Buick,Riviera,96431,1991,$67718.90,,6/8/2019,5/27/2019
67b0987d-4a97-4443-9fc5-eeb9d66770da,WA1BV74L97D001085,Dodge,Ram 2500,53551,1995,$88504.09,,7/26/2019,6/16/2019
2df36fd3-2acb-426f-8e05-0354d95754e5,3FAHP0JA9AR483338,Honda,Civic,533,2007,$75528.85,3313,2/25/2019,6/12/2019
918ddc29-8da5-4cf5-846e-56a448036015,JN8CS1MW6EM221537,Mercedes-Benz,C-Class,35754,2008,$67517.80,,6/14/2019,4/29/2019
00e8484f-04ba-450c-8fc0-f4dd59594738,1G6KH5EY8AU612859,BMW,3 Series,72317,2009,$42360.72,50201,4/17/2019,10/31/2019
15f0a700-162a-46d7-9543-1c263c016884,19UUA66267A815822,Infiniti,QX,57815,2000,$81370.74,2807,8/26/2019,6/11/2019
66c8a52f-7dab-4b71-9823-846a5a537f48,WAUDF78E47A845430,Lotus,Elise,49092,2005,$99581.51,338 01,11/22/2019,7/9/2019
d1220dfc-3cd2-4ee5-92c3-613e82664cf6,1FAHP3CNXAW246954,Mercedes-Benz,SLR McLaren,87722,2005,$31028.67,,6/11/2019,1/19/2020
913e02ae-b833-4da5-a1f9-45657d4b4dde,WAUVC58E45A344956,Buick,Park Avenue,20009,2000,$19100.54,411 36,12/20/2019,9/24/2019
2ed17d82-3018-41ac-8d34-2699c8834521,3VW8S7AT7FM203968,Land Rover,Range Rover,77780,1993,$15583.24,01056,1/19/2020,3/21/2019
fec05ad5-6ab1-4903-a4a8-64cbac657e8e,JN8AF5MR9DT230864,Volkswagen,Passat,44013,1990,$68045.46,10109,5/16/2019,11/15/2019
966a8ce5-aef5-426a-bd2b-0cbe41dad3ab,2LMDJ6JK9CB969865,Mazda,Protege,83402,2002,$53406.78,94242,6/11/2019,9/7/2019
4c4ea44b-3d5f-44b3-8f45-56356450d642,5UXZV8C54D0426860,Chevrolet,Suburban 1500,58964,1992,$69311.50,412285,12/15/2019,10/9/2019
b9df453c-0fea-4342-88a3-ab6fda2701e1,1G6DK8EY0B0729999,Mercury,Marquis,97486,1986,$84980.93,,1/15/2020,1/12/2020
418ef05d-cc7c-4f43-a23b-9a028fd8db9f,2FMDK3AKXBB925456,Porsche,Cayenne,30559,2006,$6273.72,,12/28/2019,12/27/2019
05678c3f-861b-4d37-9f3e-1ab77b9a93a5,JM1DE1HY1B0976715,Ford,Fiesta,97970,2011,$34099.56,,4/29/2019,5/20/2019
da8497d1-472c-4174-b784-7c8ac931b297,1G6DC8EG2A0708087,Mitsubishi,Diamante,28517,2002,$87877.09,,9/19/2019,12/16/2019
62aa65c6-8aff-44dd-8f15-b118e2df2121,1FTSX2A5XAE839293,Plymouth,Voyager,24692,1997,$77955.65,664 61,8/27/2019,3/26/2019
bd0c4d9a-e57a-44db-850c-c88e2bc78ed4,WBAYG0C57DD125238,Cadillac,Seville,29854,2004,$61424.48,,6/24/2019,11/13/2019
c019d2cc-bdc5-4f33-9af3-963ade030f5e,5N1AL0MMXFC469463,Ford,Escape,17426,2009,$50164.40,,1/8/2020,6/18/2019
25a51d04-3dc0-40aa-b1f8-5f72a972809a,JH4NA12624T055935,GMC,Savana 3500,9348,2010,$20055.61,41904 CEDEX 9,5/31/2019,9/3/2019
4dbdebef-9161-4c99-a7c5-1fe5e09d7b09,1G4GD5GD2BF339671,Volvo,V40,33753,2003,$41612.69,,4/13/2019,10/2/2019
7f36a47e-e2c8-497e-854f-cb0f2d7e529d,1FTEW1C87AK274052,Volkswagen,Cabriolet,5759,1988,$7422.81,,2/23/2019,12/11/2019
4bc108c1-9f9d-458d-898b-8cf5a2b0425c,5N1AN0NW3EN402829,Chevrolet,G-Series 2500,68665,1998,$68499.16,,1/30/2020,11/14/2019
66422bb2-3733-44cf-a13c-c89476a3f36f,KM8JT3AC3AU871728,Ford,F-Series,30197,2008,$82542.13,,1/11/2020,7/2/2019
17cbcb49-f3ba-46dc-a669-b59e40bdace5,WBA3C3C52EP001661,Chevrolet,Equinox,7479,2010,$85035.90,,3/6/2019,10/28/2019
81e9980e-4968-473d-8017-16fcfc1f7731,W04GY5GV6B1676966,Ford,F350,35933,2006,$86138.90,,8/19/2019,11/20/2019
be869e48-69e6-46d8-8136-e24dcac85a61,1FAHP2D81FG874311,Lexus,ES,25694,1997,$66505.82,53291,7/31/2019,9/18/2019
bef44d21-d2fd-425c-bddd-0302ca2b9d99,3N6CM0KN9DK761521,Maybach,62,99773,2012,$19377.62,,12/16/2019,6/17/2019
6c0cfc4f-d899-4927-8054-4c1343215955,WBALM7C58CE783302,Mercedes-Benz,G-Class,86497,2002,$19899.90,80141,4/26/2019,11/12/2019
99f200d8-c207-49d4-a548-10cbb5a345a7,WAUKFBFL6EA948244,Acura,CL,74197,2001,$68556.90,646160,10/13/2019,4/19/2019
d8d39ece-ff0f-4c58-b737-3ddeeb0ea2f3,1GD22XEG1FZ836353,Saturn,Aura,13613,2008,$99076.46,,5/10/2019,1/17/2020
a31d10e1-ca26-4eb3-88ca-8c49b924ef13,WBAYE4C59FD121501,Chevrolet,Suburban 1500,96703,2002,$91368.07,31774 CEDEX,9/23/2019,9/6/2019
b471d090-ad98-4cc6-b1fe-4879e71d8ea8,WAUUL58E85A748788,Chevrolet,Express 3500,67910,2009,$65839.44,,11/22/2019,10/26/2019
309ba86d-fb0b-435c-9347-d431f5d95bb7,3LN6L2G94ER113907,Toyota,Corolla,901,2006,$79556.17,,4/27/2019,4/1/2019
4aee4adc-e4a0-4959-a949-5746a52f51ff,1GD22ZCG4CZ937008,Mercedes-Benz,SLR McLaren,76917,2006,$94826.43,,4/29/2019,12/13/2019
78f2c9a1-9bb4-42d8-964e-18b591b57503,WAUYP64B41N557587,Dodge,Viper,91577,2003,$47404.78,606800,12/26/2019,10/8/2019
b8e8ed3e-a600-4750-b193-c675c5a891d7,WAUJ2AFD0FN549124,Hummer,H1,82087,1996,$93586.50,,7/3/2019,5/23/2019
adaff4fa-7e21-4c92-8ee2-486486e9bc1e,3C6TD5CT8CG366509,Cadillac,DeVille,44641,1996,$21166.43,,6/26/2019,11/13/2019
21030a32-f675-4895-9aa9-d98319a55c16,WA1YL54B85N687008,GMC,Sierra 2500,77218,2006,$15652.84,64058 CEDEX 9,1/28/2020,6/3/2019
1f615222-789d-446f-9a3e-2c902a23c78b,KNDPB3A2XC7630887,Suzuki,Daewoo Lacetti,64690,2004,$18365.14,05-827,1/16/2020,11/1/2019
71a4086c-8a45-471d-9911-fefac5655936,WAUEH98E66A442395,Chevrolet,Metro,76536,2000,$18721.03,751 41,2/11/2020,6/26/2019
bae2c082-af20-4365-8e8b-78cf4c540689,1N6AF0KY1EN152754,Dodge,Dakota,96635,1998,$43888.16,,10/19/2019,7/14/2019
5985367b-4b19-4d7c-883d-d5053b5c718f,WBAWC7C58AP236886,GMC,Vandura G3500,13572,1995,$39402.90,,2/26/2019,12/25/2019
bcfbd47c-710f-4b2d-b2ff-730c0a15f4a9,3C63D3KL2CG762537,Oldsmobile,Intrigue,81906,2001,$66908.65,,8/15/2019,6/12/2019
