uuid,vin,make,model,year
fed64065-feaa-4d41-96e4-a255bf8f525a,WAUPFAFM5BA494203,Dodge,Dakota Club,1997
d6f7028b-2380-4eab-bbca-cb33a993ad34,JA32U1FU2DU569099,Ford,Mustang,1994
5a9050c1-6a61-4299-bce4-20c5cca19057,WBANN73547C235773,Lexus,ES,1992
5841a049-74ae-40b3-9622-db2289053f8b,JTDZN3EU1FJ559226,Oldsmobile,Cutlass Supreme,1997
d3aaf73b-2c54-4ad5-abae-2441f647bfba,WAUDF98E25A544700,Maybach,Landaulet,2009
38a87774-022a-41b0-b6e9-9420215687fa,JN8AZ1MU2DW563104,Mitsubishi,Pajero,1988
5093fe02-6b8e-41ea-b0ff-03dbfdb2c8be,WDDEJ7EB9BA561077,Mitsubishi,Endeavor,2010
325010f3-f664-43be-a184-ce6b8897a014,1B3CC5FB7AN192257,Porsche,968,1995
63f8db90-9c1e-4a2c-a3b1-7315cb3901b2,YV126MEC2F1902941,Dodge,Ram 2500,1994
3df636af-78b7-47fb-83f6-216d474b7cf8,WAUNF78P38A698377,Acura,RDX,2009
62dd6ec6-452d-41c6-a687-25ff48214518,2C3CDZAT3FH164172,GMC,1500 Club Coupe,1999
e51aa429-28f8-418b-9955-7fa2b4c97bc2,1G6DK1E33D0089169,Mercury,Tracer,1991
7936753a-ffe2-467d-859f-4a56f23c8bdd,2HNYD18735H758720,Lamborghini,Gallardo,2009
4d0e19f2-d48e-45ca-bb38-393f6fef9a88,5NPDH4AE2CH830448,Dodge,Colt,1989
d7c9865e-5fec-4b53-a322-149104b308f2,1N6AA0CA4FN133553,Audi,Q7,2012
6b5578cb-bfbf-4b8d-bfb6-c37ff15602bb,WBANW13589C871660,Toyota,Sienna,2010
5e6eb91a-bfc9-4ff7-85ff-4a57a6a1be18,WAUJC58E35A524833,Mitsubishi,3000GT,1997
19c5d181-663d-436b-a318-11207803b36e,1N6AF0LX3EN325275,Cadillac,XLR,2006
50af2446-e844-44a1-a153-49e676c9a82a,5FRYD3H48EB086407,Chevrolet,Equinox,2011
d2b3d67a-5dec-48ff-b9a4-69ba394b5195,1GYS4KEF0DR834061,Volvo,XC70,2005
0e0d5640-3e13-4467-99ad-891d75c722f9,WBAUN1C50CV306300,Audi,TT,2005
ec5ba15f-f038-4c2d-bb2c-2e01e457334a,3VW4A7AT5CM226548,Mazda,Mazda6,2010
b910edfb-40af-484f-8abb-84188cedfe9c,WA1VMBFP6EA978136,Chevrolet,Uplander,2007
2f52993a-5c44-4eef-a060-5e34d3904970,1HGCP2F31CA957744,Toyota,Tacoma Xtra,2001
d06b655a-0e68-42a4-95f5-6fc1f0e0513e,WAUGL98E08A833777,Dodge,Charger,2007
d842c1e8-6a78-4bf6-942f-5b796bd3e3d8,WBA6B2C50FG334064,Mercury,Mariner,2008
4c32123d-8a5c-4401-9e80-e5e816bf7291,SALWG2WFXEA877845,Chrysler,Concorde,1999
d4cea84e-13c4-489f-9ad4-fe0d90753888,WBA3T3C55F5082734,Ford,Escort,1992
93c56853-59bf-4e98-99dc-2809eeee308b,WBSWL93588P568909,Mazda,Millenia,1997
f51c372b-5e14-44e1-b5d7-0adc8eb3be4e,1GD21ZCG8BZ665449,Chrysler,Concorde,1995
d6f1c527-9825-4a58-b278-81d1cc20ee28,SCFAD05D09G703866,Subaru,Alcyone SVX,1992
24b3a680-c302-401c-93fd-57f4b11264f2,WAUGGAFC1CN211505,Audi,S4,2008
204043ca-8711-4853-9e62-d5552ff3b9fe,WBA3B3C58DF731100,Honda,Insight,2002
a26dec90-7fcb-4bd7-95e4-3daa54128743,JN8AF5MR9CT445739,Lexus,ES,2012
b77de4ab-0734-4144-b021-9593bca80e5f,1N6AF0LY3FN278825,Bentley,Continental GTC,2011
4dfd4207-8122-4be4-a3ec-20df10657247,WBA3D3C52EK881917,Mitsubishi,Mirage,1999
9a5b45b0-9e9a-4dc3-a499-5c802aefbe3a,1B3CB2HA0AD369694,Dodge,Colt,1994
cc5b4088-9ccc-4ab5-b687-5b6dadadf0f9,5NPET4AC8AH056673,BMW,M5,2002
1d959e6d-f6de-4189-b4db-33bb97eea9ea,1GYS4UKJ8FR927093,Subaru,Loyale,1991
4a114d3c-1442-41b8-a8f3-2556f66ebbaa,JN1CV6AP8FM677797,Ford,F150,2011
8e4077a3-dc1d-432c-bfed-58942d60ab20,JTDKDTB35E1736388,Acura,TSX,2005
a1936591-360c-4b99-92f2-e193019f2a9c,WA1WMBFE0CD528870,Mitsubishi,Truck,1986
bd6ec31c-c7b0-488d-8f2e-9c0604652b33,WA1AV74L67D309259,Ford,Edge,2009
21909068-497c-41d4-b4b7-b4bc2ad4de25,1VWAH7A36DC787052,Mazda,Tribute,2011
c0feb5a7-0404-492b-a101-42f489373609,WAUPL58E14A205861,Chevrolet,Express 1500,1996
fcda5c30-41e9-471c-8020-f4f18277b8f0,WBAUN7C59BV020852,Chevrolet,Tahoe,2003
e63a56d5-8e76-4280-bf66-3060be124bab,1FMJK1F53AE784338,Chevrolet,Cobalt,2005
730bf5a2-4759-4166-acec-22aa2ebe788d,5TDBCRFHXFS757754,Ford,Escort,1989
6ab70158-42a3-4f28-b1a5-0b41c3b1a586,1G6DH8EG9A0225147,Mercury,Sable,1989
c5c4fc2b-a571-4085-b8cb-de1b8075ee95,WAUGL98E55A081666,Ford,F250,2001
6fce5413-4904-418f-af28-9a13d28ed0fa,JH4CL96946C652334,Mitsubishi,Eclipse,1994
ad5750e2-c033-4b33-9438-7092934569af,WAUCFAFR3CA708052,Volkswagen,Corrado,1991
e57965cc-654d-4035-8f1a-918ccf6e4d35,2C3CDXGJ2DH616832,Chevrolet,Camaro,1968
d3f3ef14-fef4-40d8-92b3-f8d06a02a610,1FTWF3B58AE362937,Mercury,Topaz,1986
46136bd5-1b11-48bf-abb4-a899e33c51f1,2T1BU4EE1DC188922,Nissan,Pathfinder,2009
d8620db7-39b9-4383-91e0-bc7509d1aa28,SCFBF03B27G647846,Pontiac,G3,2009
4b1f63c4-0ae6-48a6-b5f2-f7c50c61e323,2C3CDZAG4FH575860,Audi,A4,2009
039c8384-a172-4c9d-8f15-0abee1d3071d,WA1GFCFS8FR440859,Mazda,B-Series,1994
2e7e1317-941f-4de9-812b-0977ef2889ac,WAUDG68E65A744507,Kia,Optima,2001
8c502bf8-fbe2-44f5-bbf3-10ca8c002f0e,1FTWF3C51AE274715,Jeep,Cherokee,2001
0eeb1557-b9f9-4ac2-99e7-f6e062f998fb,4A31K3DT3CE918723,Kia,Sedona,2007
8f508d16-6d1f-465f-983c-d7b5e308479e,3C3CFFDR0FT253357,Mazda,B-Series,2009
5a9c5f20-b647-43d0-ad95-2456077112e5,JN1AZ4EH5CM506908,Mercedes-Benz,CLK-Class,2006
9a8191a0-c7a6-4416-8db8-6d44152c5c93,WBA3A5C57FF168526,Mazda,MX-6,1992
6c588299-d8e9-431a-be24-80ebafeaabcb,KMHGH4JH4EU771317,Ford,Econoline E250,2001
be2a3e57-a0b5-41dd-a9c2-7ed408bbdc6e,3GYFNAE3XES842102,Ford,Taurus X,2009
a4db200a-511a-44f6-b39f-e62f5408c7a7,5GAKVCKD5DJ345425,Nissan,GT-R,2013
d58cf3ab-e41c-49f6-a7da-7e5648571d29,WBAVC93518K869910,Buick,Roadmaster,1991
76078e6c-76e3-4035-9866-1e67e5c0f057,WBAWB73547P284512,Subaru,Legacy,2007
f87b26f5-8792-4a6b-9e61-1aaa4ae80bff,SCFFDAAE2CG784936,Mercedes-Benz,C-Class,2006
e63bcc73-ed8d-4a45-a34b-efc4c55ff36c,WAUEH94F26N922327,Audi,S6,2007
04bbf272-6100-4b0d-ba09-ab3a2057d05e,WP0CB2A89CS810047,Suzuki,Equator,2012
8b57a1b5-0ac8-401e-8a8f-60783a09896d,1FAHP3CN4AW751937,Maybach,62,2012
81130170-399e-4cf2-9327-2e5246050b1f,1ZVBP8JS2B5280316,BMW,M5,2009
1d0b3f88-b9ae-4a97-a74a-55e189e19b15,WAUFFBFL0BN883803,Cadillac,DeVille,2002
eb5d2428-3e2e-4562-aadd-207ec1fa6011,WBA3C3C55FP418760,Plymouth,Breeze,2000
c30c6cf5-8141-4878-b44c-d1ebe79f55d9,2C3CDXCT5EH976055,Subaru,Tribeca,2011
ab0cebfc-e39d-461e-a2d0-d4312be7ecfd,WBAYA6C57DD096036,Bentley,Azure,2009
301a8d9f-344a-4dde-b1f7-868e42623eac,WVWGU7AN8CE273653,Pontiac,Grand Am,2001
52c53fd3-22d4-4882-8125-889c2c9a4349,WAUBFAFL2FN890685,Infiniti,I,2001
5114b7f1-41b7-44f4-9abf-71fc8878d1e1,JH4DC53844S937076,Nissan,NV3500,2012
84399b9d-dbfb-40e3-8bee-31e6c437214e,JTEBU5JR0D5973178,Aston Martin,V8 Vantage S,2012
8c596975-6f3b-4cf1-a47b-4de04e13e657,1FTEW1CF9FF312928,GMC,Envoy,1999
454946e4-67f1-4c7d-a3a4-eab749358ca9,1G6DD67V580089072,Chrysler,LeBaron,1992
8002288b-45f8-4666-882b-ba1090755d0d,WAUBFAFLXBN642713,Chevrolet,Express 2500,1998
6dc5ee83-755e-41ca-8a6a-15594784b395,1G6KE57Y74U850955,BMW,760,2003
7e1735f0-f954-4458-8039-18a4622ca8a8,WA1MYAFE2AD743024,BMW,Z8,2000
174715be-7651-4c88-9c29-471cfb13c880,1GYS4CKJ6FR766821,Mazda,Protege,1992
e56c04e5-b34b-499c-aa7e-e33c0239d328,SCFBB04B18G932730,Chrysler,Cirrus,1995
82094779-b567-4d35-9d70-a0833785551f,2V4RW3D18AR078095,Volvo,S40,2001
0b8e0a86-b6a4-4411-940c-2c2469f62617,WBAUN93558V914934,Suzuki,Esteem,2002
2c70acc8-1a86-4f89-b6ba-a0ec82ecc606,2G4WC552961616250,Mazda,GLC,1984
7f406a07-4b8e-48eb-89b8-09942f034ca9,SCFAB01A56G094870,Buick,Century,2004
cee2f23d-6c55-4d03-9f49-667d17728da3,1FTSE3EL8AD615272,Dodge,Grand Caravan,2012
b5492765-d45a-400c-a961-d79de801078b,WBA1M1C5XFV874063,Mercury,Grand Marquis,2003
d60fc130-d6a1-4611-b76f-32ea0716a630,JN8AE2KP0D9294601,GMC,Suburban 1500,1993
8a385462-a212-45b9-958a-c7101a90b1b8,1FTSW2A54AE100858,Chevrolet,Express 1500,2006
6ff2bdec-a645-4be3-afc3-893c129d3e96,WAUHF78P58A467770,Buick,Regal,1988
29404711-98bb-49fb-a907-99d2a483ec8b,YV4902BZXD1846101,Pontiac,Montana,2000
288eb42f-2c2a-4655-8e3b-b63774f6a72f,WDDHF5KB6EA112290,Chevrolet,Tahoe,2002
8396ea1c-0e76-4ed0-806b-41ae2cb8fc39,1GD12YEG9FF489261,Land Rover,Range Rover Evoque,2012
d48afaf1-91ba-436b-90ae-30900a75035e,WA1EV94L57D578804,Hyundai,Elantra,2007
22ed0002-c024-48cf-8cbc-712f5243abb4,2G4GR5EC5B9148959,Ford,Thunderbird,2003
3b950eed-1124-49fd-93d2-e97f95b767a1,JH4KB2F67CC763953,Mitsubishi,RVR,1992
4e0496f9-a3fc-4d48-82db-2216c1cf6ef6,1NXBE4EE6AZ623411,Ford,Laser,1987
0499e7a4-1510-4896-b37f-0327b086f928,JM1CR2W38A0978831,Chrysler,LeBaron,1994
6ae1edb4-a6fc-421d-9aa5-47f9d0c98b8c,5UXFB53555L783605,Ford,Thunderbird,1996
3258fb86-672e-4693-aa95-ed4f056502a6,WAULK78K09A802817,Toyota,Highlander,2008
a01d284e-c191-44cf-b695-5e17cfe06e70,1D7RE3GK3BS571027,Lincoln,Town Car,1992
05e36700-8197-413f-863e-744abe5410db,2C4RDGBG3FR927569,Chevrolet,Camaro,2000
ea24d7fd-6d4f-4552-a157-15e546726212,SCFHDDBT4EG738826,Cadillac,Escalade EXT,2010
c229b45c-225a-4c51-b933-ff1d7dd86497,WAUCFAFC9DN941438,Daewoo,Leganza,2001
c5cf60af-221d-48a0-8c4d-36082deb582c,1ZVBP8AM1C5649900,Volvo,740,1992
84544eb1-7c6f-43db-8806-1e391210e90d,1GYS3BEF5BR639587,Mazda,Miata MX-5,2011
21faccfe-7021-409d-91a4-db6fb605e615,1N6AA0CC1DN617727,Lincoln,Navigator,2000
56e96257-e76e-4080-9583-d7a3c78b1667,1G6AB5RX5F0086851,Saturn,Aura,2007
421f2e76-c583-4b83-a7ea-7ee817b94f43,1G6DA1E32E0935408,Ford,Explorer,2003
81918798-257f-4c08-b65d-7f34c9cfc982,2C3CDYBT7CH436274,Volvo,XC90,2010
560f2279-587b-4741-8391-4977a8128f0f,WAUVT68E64A012389,Pontiac,Grand Prix,1993
26c71ab1-acdf-44e1-b1a4-3039a0e1c1de,3VWKZ8AJ6BM849700,Chevrolet,Impala,2008
981e28b1-14d9-4c0c-9407-3ef1b2a8fce1,SCBBR93W878249857,Chevrolet,Avalanche,2011
df9309b4-8c6a-4f6a-a3a2-60cb054d6af4,JM1GJ1T51E1987251,Ford,Mustang,1994
92cbd54b-7c9d-491d-ba17-04d2188ed403,19XFA1F22AE468343,Ford,Windstar,1996
ac0e050f-76d2-4426-a4aa-3e0124da5fe4,1D7CW3BKXAS131735,Mazda,Familia,1990
5d351562-97be-419c-b464-39af0a1b53b3,WDDGF4HB7CA724234,Chevrolet,Express 2500,2008
27842ab2-b924-426e-b28d-b2bbd9bec2bf,1GD02ZCG2DZ858994,Nissan,Titan,2009
e7b3a116-1519-4f21-84f2-83771f48d2fc,5BZBF0AA7FN262396,Porsche,911,1993
b7e9a15c-54ec-4bdd-aa19-800d245d297c,SAJWA4FB7EL185260,Mitsubishi,Eclipse,2012
829372fe-3ce4-4ea2-a168-cc3ba4bdd49b,1NXBU4EE5AZ071936,Subaru,Leone,1987
cb781a8c-a4a1-41cb-834d-a03e735a9615,1G6DP5EV1A0746590,Mercedes-Benz,CLS-Class,2009
93178fd0-0bb0-40ac-af1e-f5618bd2d99e,WBA3B9C54DF300546,Lexus,GS,2000
5d93b423-fac6-4b89-9572-be2941764e80,SCBLC43F65C652884,Volvo,S80,2010
f679a6bb-c926-495e-b573-fde95a384f2d,1B3CB1HA6AD342056,Suzuki,XL7,2006
8e54c640-e99c-4a4e-9405-88754603898f,5GAKRAED2BJ339695,Ford,Thunderbird,1986
0dc02594-66c4-416e-aea2-e67cbb4402ef,JN1CV6AP6CM075833,Volvo,V40,2003
bd1ad4b4-484e-46f2-bc38-763d1f56220e,2T1BU4EE9CC267799,Lexus,ES,2002
4a49b8d4-5e20-48f7-bd8c-ba825e655f66,WBA3A9C53CF538261,Volvo,S60,2012
50ca9bde-1207-4a3a-b1c1-47dfc81fbbe8,KM8JT3AB1CU322927,Chevrolet,2500,1998
8cda88ad-f41a-49e1-b42d-e5338805af64,WVGEF9BP7DD609289,Buick,Park Avenue,2000
b24edaf0-38d1-454f-96d9-6881b75cc9cf,1GYS3EEJ0CR182193,Hyundai,XG350,2004
d271af56-5e3e-4bcb-ac81-bef080c8fe53,SALVN2BG0DH518803,Dodge,Avenger,2008
f05d16b1-58e5-4da6-b0af-0260b29868ac,KMHTC6AD8CU177669,Ford,LTD Crown Victoria,1987
10080658-c01d-486f-8655-4d6fdea652f2,2G4WS52J731590905,Chevrolet,Express 3500,2005
dadfd74d-d07e-4fe3-9205-f6780e209c78,WBA3B1C57EP588883,Acura,TL,2011
22aa2b9c-165f-4388-b766-8b2f30d4d5de,19UYA42691A762362,Lexus,RX,2013
62c7ced0-9c64-4c04-807c-c561565a5f07,WP0AB2A81CU557740,Pontiac,Tempest,1967
d6474bab-611e-4960-b80f-4ee339ed08d8,WDDUG7GB2FA330079,Ford,Excursion,2004
e15d2709-25a7-439e-8434-c76926ac793c,WAUCVAFR1AA850108,Porsche,Cayman,2012
0164991d-6859-414f-b5b5-c8b9ac3f7975,WAULT68E25A247526,Subaru,Forester,2007
6f89a4d6-0b43-4680-8663-6b8208fa632f,WBAKF3C5XBE996975,Mazda,Mazda3,2011
2196f62d-832a-4d64-be64-4e91c8d2d77b,SCBDC4BL5AC972705,Lamborghini,Gallardo,2008
7ed93c24-eab4-48c8-91cb-435204f2fa52,WBANW1C54AC073239,Lincoln,Mark VIII,1994
2cb9f4db-a4b3-4637-89e1-676a921aadc8,3D7JB1EK4BG811769,Volvo,XC70,2010
c8cfe8e8-b081-4fb0-9ed9-88c685885ac0,WAUDG94F15N952433,Chevrolet,Cavalier,2005
8dd95d0c-4fa9-4621-9a2d-edb4f39ed5dd,3FAHP0JA8AR363661,Buick,LeSabre,1996
1a5cc7cd-4fe5-47b4-a796-def92f8ace9d,WBAVB33516K874005,Chrysler,Imperial,1926
7f0718a7-081e-4844-b78d-4778364bfa27,3VW467AT5DM474608,Nissan,Maxima,1990
cab8991c-0522-4a96-9950-2bbf05655369,1G6AE5S37E0891084,Suzuki,Vitara,2002
ab55cd4d-7293-4067-9f43-99fcabad935f,WAUKH78E77A392065,Lexus,IS-F,2011
8858bdab-48ae-4e54-aa05-98de7fbbc79d,3GYFNGEY2BS830603,Isuzu,Ascender,2009
e767f0d0-d863-4a58-9595-9d734f505e2e,1G6AL5SX7E0150586,Oldsmobile,Aurora,2003
92db49cc-6e53-490b-a8c4-0c8fab5a2bd3,2G61R5S35F9182195,Toyota,Prius,2005
6da29422-64cf-4e38-ac59-2b48ae663494,3VW517AT1FM275660,Jeep,Compass,2011
c9e75fb1-b37a-4cd1-ac44-62d38f24b5db,1G6AA5RX9F0874356,Toyota,Sequoia,2008
9a6438ef-60b2-442d-bb78-e8fa1bffc59b,3GYFNEE33FS788702,BMW,3 Series,2006
621fa068-1bbf-4b92-9f97-40a019e1d10a,1FTWW3A54AE255630,Plymouth,Voyager,1996
6c5afc91-f362-4c0f-a0c3-a25ed6f51701,3N1CN7AP1DL921075,Aston Martin,Rapide,2010
b0217ce3-7eec-4931-9f0e-a119ac263f20,WAUHFAFL5AN911225,Pontiac,Firebird,1995
2bf035b1-2cf0-448d-9fdd-795690a8ef31,1D7RB1CP6BS709156,Toyota,Tacoma,1998
0287b217-ea37-469d-a5c9-8bff2de8a889,JTMHY7AJ2B4210378,Kia,Mohave/Borrego,2009
4c3b001d-e682-438e-a044-6de13be3144b,WAUAGAFD7DN371582,Ford,Escort,1994
5963cba3-65da-4bcb-91fe-d611ccac6ac9,WDCYC3HFXBX129677,Mercury,Sable,2002
c3c33241-69fe-43e2-88ae-1ae0a89f14a5,WBAFU7C55BD949986,Suzuki,Swift,2004
79d2fb08-3ece-41fe-a829-19e29abd6ee5,4JGBF2FE1BA840870,GMC,Envoy,1999
41eff98d-023e-452e-aaae-09bb721de917,3FA6P0LU4FR778496,Subaru,Impreza,2004
cb91f87d-9c8d-4d26-b12f-e431ec5bf9d3,WDDHF5GB9AA300157,Dodge,Shadow,1994
dc91a089-ad9b-412c-9412-7011c7843222,2C4RDGBG3FR487188,Buick,Park Avenue,1998
d7a1a3b3-6603-47d5-b1ea-2e12aa17a4a7,WA1LMAFE9BD737004,Nissan,Pathfinder,2006
4ac28de7-fc23-4b4a-83fc-77a645ec080c,WA1WMAFE7DD164748,Ford,Ranger,1998
b40d5b28-a9ec-48a2-93e4-8c28ed969c0d,1GYFC16249R539238,Mercedes-Benz,W201,1990
7984ea16-0216-4170-a735-440f2e55e47b,1GYS4HEF5CR581191,Nissan,Cube,2010
c4d0eaeb-64f2-40fb-a18c-85a508941869,19XFB2F57DE618643,Oldsmobile,Intrigue,2000
26f2465d-8af7-4b56-ace3-6eca3b0edd46,1G4PP5SK3F4915315,Chevrolet,Suburban 1500,1997
6cedaa95-eb5b-45c8-8da2-a793761d1749,JN8AZ1MU2AW217419,Mitsubishi,Galant,1985
1b75647e-7840-486b-b4b6-ef9b7392094b,1G4HR57YX7U746715,Mercedes-Benz,C-Class,2009
6374acac-b820-4bf3-a9f6-526a555deb01,3GYFK66N65G184996,Audi,100,1992
0c8aa0a0-b6cb-4ca3-8d04-f532f7943bfb,1G6AT5S30F0094800,Dodge,Intrepid,2003
c34bdb9f-29d9-4048-83e1-aa0b42267b5a,1D7RB1CP0AS458567,Kia,Borrego,2009
1ca10af3-4520-4d51-8efb-5ad9b2219dd2,3D73M4HLXAG619201,Volvo,S80,2010
f86c533b-a666-420d-a9d7-89d7c7e34353,2G4GU5GX9E9068485,Lotus,Esprit,2002
70afb3df-57f5-4bce-83ec-6337c1b43d40,WBABV13494J972983,Mazda,MX-5,1992
38a30e36-201e-41e6-aba1-84a0c2cb92d8,1FMCU0F70DU696341,Hyundai,Tucson,2010
78caa7a0-8dce-4a5a-984d-d97dbe283207,JM1CR2W3XA0583405,Suzuki,Daewoo Lacetti,2006
6bd2c4b7-6db7-4204-bbe8-66256cf13a8d,JN8AF5MV0FT419418,MINI,Cooper,2006
35c1f502-a23e-49eb-a965-ac4d8108527c,WP1AA2A2XBL622180,Jeep,Comanche,1992
c1f0736a-20eb-46fc-94d6-df8859f15d00,1G4GB5ER0CF712292,Ford,Bronco,1987
e5dc880f-768e-4228-8f80-15ef78ec6a23,KNAFU6A24C5467766,Toyota,Camry Hybrid,2011
bf626870-073e-4128-bf50-0f68e62e95e5,1D7RV1GP4BS060975,Chevrolet,S10,1999
d542f096-579f-4b7e-883a-befd4a7383ef,JM1DE1KY0D0703678,Chevrolet,Suburban 1500,2004
40ee4f3e-c21a-4a83-8bcb-e4e2e8170002,WAUPEAFM8DA886744,Buick,Lucerne,2008
3a8ac25a-b661-404d-b6e6-71f7b4605615,5GADX33L96D406107,Jeep,Commander,2010
9d1c3083-3d19-4f91-8b25-8331be4bfd8c,WAUWG74F19N177571,Chrysler,Town & Country,1999
